试看频道,#genre#

好消息電視台1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8

好消息電視台2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8

民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy

民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw

民視影劇台,http://seb.sason.top/ptv/ftv.php?id=yj

民視,http://50.7.61.147:30080/Entry/ftv

民視旅遊台,http://seb.sason.top/ptv/ftv.php?id=ly

台視,http://50.7.61.148:30080/Entry/ttv

台視綜合台,http://sytv.xtvants.fun/mytv.php?id=tszh&token=free&user=free

公視,http://sytv.xtvants.fun/mytv.php?id=gs&token=free&user=free

中視,http://50.7.61.148:30080/Entry/ctv

華視,http://50.7.61.147:30080/Entry/cts

大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8

中台灣生活網,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8

華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8

紅牛REDBULL TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8

原住民電視,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8

客家新聞台,mitv://ns2.hellotvvod.com:9906/bcf16a66476d4c88a5ea6b7d40a56e7c

國家地理頻道,mitv://ns2.hellotvvod.com:9906/56543494b4f64682b1cf6a1aa771c34c

TLC旅遊頻道,p8p://fccs.123178.top:9906/60440517000a918709a6b1f73be1eeb9.ts

動物星球,mitv://ns2.hellotvvod.com:9906/8df6a02edb7946eebae8115ab6fd8ec7

CN卡通頻道,mitv://ns2.hellotvvod.com:9906/51e593fae95f48968c181b6a47179526

迪士尼頻道,mitv://ns2.hellotvvod.com:9906/d24a14f362fb47d8a603b41462ad0f9b

MOMO親子台,mitv://ns2.hellotvvod.com:9906/d3ae733f3d61464e8f240d812c0b1516

東森幼幼台,mitv://ns2.hellotvvod.com:9906/a5729018eb3d44c4b4033e72ea4af060

